name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Schelling/Lollipop/CS=50/PL=450/iterations:1000/threads:24",24000,0.0240543,0.0234329,ms,,42675,,,
"Schelling/Lollipop/CS=100/PL=900/iterations:1000/threads:24",24000,0.0457851,0.0448725,ms,,22285.4,,,
"Schelling/Lollipop/CS=150/PL=1350/iterations:1000/threads:24",24000,0.0727346,0.0715946,ms,,13967.5,,,
"Schelling/Lollipop/CS=200/PL=1800/iterations:1000/threads:24",24000,0.101884,0.100264,ms,,9973.68,,,
"Schelling/Lollipop/CS=250/PL=2250/iterations:1000/threads:24",24000,0.150903,0.149338,ms,,6696.24,,,
"Schelling/Lollipop/CS=300/PL=2700/iterations:1000/threads:24",24000,0.195325,0.187893,ms,,5322.18,,,
"Schelling/Lollipop/CS=350/PL=3150/iterations:1000/threads:24",24000,0.203491,0.201455,ms,,4963.88,,,
"Schelling/Lollipop/CS=400/PL=3600/iterations:1000/threads:24",24000,0.270521,0.268383,ms,,3726.02,,,
"Schelling/Lollipop/CS=450/PL=4050/iterations:1000/threads:24",24000,0.315417,0.307468,ms,,3252.37,,,
"Schelling/Lollipop/CS=500/PL=4500/iterations:1000/threads:24",24000,0.333243,0.32864,ms,,3042.85,,,
"Schelling/Lollipop/CS=550/PL=4950/iterations:1000/threads:24",24000,0.410826,0.408013,ms,,2450.9,,,
"Schelling/Lollipop/CS=600/PL=5400/iterations:1000/threads:24",24000,0.444249,0.434614,ms,,2300.89,,,
"Schelling/Lollipop/CS=650/PL=5850/iterations:1000/threads:24",24000,0.495547,0.490046,ms,,2040.62,,,
"Schelling/Lollipop/CS=700/PL=6300/iterations:1000/threads:24",24000,0.562923,0.557612,ms,,1793.36,,,
"Schelling/Lollipop/CS=750/PL=6750/iterations:1000/threads:24",24000,0.581907,0.573825,ms,,1742.69,,,
"Schelling/Lollipop/CS=800/PL=7200/iterations:1000/threads:24",24000,0.660335,0.652857,ms,,1531.73,,,
"Schelling/Lollipop/CS=850/PL=7650/iterations:1000/threads:24",24000,0.738032,0.730303,ms,,1369.29,,,
"Schelling/Lollipop/CS=900/PL=8100/iterations:1000/threads:24",24000,0.779806,0.775221,ms,,1289.96,,,
"Schelling/Lollipop/CS=950/PL=8550/iterations:1000/threads:24",24000,0.832607,0.825512,ms,,1211.37,,,
"Schelling/Lollipop/CS=1000/PL=9000/iterations:1000/threads:24",24000,0.872264,0.865217,ms,,1155.78,,,
"Schelling/Lollipop/CS=1050/PL=9450/iterations:1000/threads:24",24000,0.919519,0.913578,ms,,1094.6,,,
"Schelling/Lollipop/CS=1100/PL=9900/iterations:1000/threads:24",24000,0.944825,0.940105,ms,,1063.71,,,
"Schelling/Lollipop/CS=1150/PL=10350/iterations:1000/threads:24",24000,1.12609,1.1187,ms,,893.892,,,
"Schelling/Lollipop/CS=1200/PL=10800/iterations:1000/threads:24",24000,1.0548,1.04644,ms,,955.618,,,
"Schelling/Lollipop/CS=1250/PL=11250/iterations:1000/threads:24",24000,1.302,1.28998,ms,,775.206,,,
"Schelling/Lollipop/CS=1300/PL=11700/iterations:1000/threads:24",24000,1.25438,1.24748,ms,,801.616,,,
"Schelling/Lollipop/CS=1350/PL=12150/iterations:1000/threads:24",24000,1.43771,1.38223,ms,,723.47,,,
"Schelling/Lollipop/CS=1400/PL=12600/iterations:1000/threads:24",24000,1.41501,1.39709,ms,,715.776,,,
"Schelling/Lollipop/CS=1450/PL=13050/iterations:1000/threads:24",24000,1.58566,1.57662,ms,,634.269,,,
"Schelling/Lollipop/CS=1500/PL=13500/iterations:1000/threads:24",24000,1.58679,1.57309,ms,,635.693,,,
"Schelling/Lollipop/CS=1550/PL=13950/iterations:1000/threads:24",24000,1.74161,1.72788,ms,,578.743,,,
"Schelling/Lollipop/CS=1600/PL=14400/iterations:1000/threads:24",24000,1.65489,1.63227,ms,,612.644,,,
"Schelling/Lollipop/CS=1650/PL=14850/iterations:1000/threads:24",24000,1.81584,1.79607,ms,,556.772,,,
"Schelling/Lollipop/CS=1700/PL=15300/iterations:1000/threads:24",24000,1.92192,1.89136,ms,,528.721,,,
"Schelling/Lollipop/CS=1750/PL=15750/iterations:1000/threads:24",24000,1.85817,1.84264,ms,,542.701,,,
"Schelling/Lollipop/CS=1800/PL=16200/iterations:1000/threads:24",24000,2.04834,2.01674,ms,,495.849,,,
"Schelling/Lollipop/CS=1850/PL=16650/iterations:1000/threads:24",24000,2.08054,1.98759,ms,,503.122,,,
"Schelling/Lollipop/CS=1900/PL=17100/iterations:1000/threads:24",24000,2.11866,2.10504,ms,,475.05,,,
"Schelling/Lollipop/CS=1950/PL=17550/iterations:1000/threads:24",24000,2.20634,2.18782,ms,,457.077,,,
"Schelling/Lollipop/CS=2000/PL=18000/iterations:1000/threads:24",24000,2.37834,2.3479,ms,,425.912,,,
"Schelling/Lollipop/CS=2050/PL=18450/iterations:1000/threads:24",24000,2.52051,2.43401,ms,,410.844,,,
"Schelling/Lollipop/CS=2100/PL=18900/iterations:1000/threads:24",24000,2.48651,2.47215,ms,,404.506,,,
"Schelling/Lollipop/CS=2150/PL=19350/iterations:1000/threads:24",24000,2.65023,2.63373,ms,,379.689,,,
"Schelling/Lollipop/CS=2200/PL=19800/iterations:1000/threads:24",24000,2.88725,2.868,ms,,348.675,,,
"Schelling/Lollipop/CS=2250/PL=20250/iterations:1000/threads:24",24000,3.16346,3.12973,ms,,319.516,,,
"Schelling/Lollipop/CS=2300/PL=20700/iterations:1000/threads:24",24000,2.9853,2.96285,ms,,337.513,,,
"Schelling/Lollipop/CS=2350/PL=21150/iterations:1000/threads:24",24000,3.01412,2.95798,ms,,338.068,,,
"Schelling/Lollipop/CS=2400/PL=21600/iterations:1000/threads:24",24000,3.05236,3.01408,ms,,331.776,,,
"Schelling/Lollipop/CS=2450/PL=22050/iterations:1000/threads:24",24000,3.53225,3.49261,ms,,286.319,,,
"Schelling/Lollipop/CS=2500/PL=22500/iterations:1000/threads:24",24000,3.11718,3.0428,ms,,328.644,,,
"Schelling/LollipopCliqueOnly/CS=50/PL=10000/iterations:100/threads:24",2400,0.924029,0.911261,ms,,1097.38,,,
"Schelling/LollipopCliqueOnly/CS=100/PL=10000/iterations:100/threads:24",2400,0.93053,0.863942,ms,,1157.49,,,
"Schelling/LollipopCliqueOnly/CS=150/PL=10000/iterations:100/threads:24",2400,0.94353,0.886316,ms,,1128.27,,,
"Schelling/LollipopCliqueOnly/CS=200/PL=10000/iterations:100/threads:24",2400,0.948941,0.922901,ms,,1083.54,,,
"Schelling/LollipopCliqueOnly/CS=250/PL=10000/iterations:100/threads:24",2400,0.950201,0.88956,ms,,1124.15,,,
"Schelling/LollipopCliqueOnly/CS=300/PL=10000/iterations:100/threads:24",2400,0.9519,0.939731,ms,,1064.13,,,
"Schelling/LollipopCliqueOnly/CS=350/PL=10000/iterations:100/threads:24",2400,0.941878,0.903552,ms,,1106.74,,,
"Schelling/LollipopCliqueOnly/CS=400/PL=10000/iterations:100/threads:24",2400,0.958337,0.925576,ms,,1080.41,,,
"Schelling/LollipopCliqueOnly/CS=450/PL=10000/iterations:100/threads:24",2400,0.971328,0.925047,ms,,1081.03,,,
"Schelling/LollipopCliqueOnly/CS=500/PL=10000/iterations:100/threads:24",2400,0.961861,0.952961,ms,,1049.36,,,
"Schelling/LollipopCliqueOnly/CS=550/PL=10000/iterations:100/threads:24",2400,0.989314,0.982067,ms,,1018.26,,,
"Schelling/LollipopCliqueOnly/CS=600/PL=10000/iterations:100/threads:24",2400,0.967368,0.939282,ms,,1064.64,,,
"Schelling/LollipopCliqueOnly/CS=650/PL=10000/iterations:100/threads:24",2400,0.978576,0.967626,ms,,1033.46,,,
"Schelling/LollipopCliqueOnly/CS=700/PL=10000/iterations:100/threads:24",2400,0.989247,0.972453,ms,,1028.33,,,
"Schelling/LollipopCliqueOnly/CS=750/PL=10000/iterations:100/threads:24",2400,0.975286,0.969076,ms,,1031.91,,,
"Schelling/LollipopCliqueOnly/CS=800/PL=10000/iterations:100/threads:24",2400,1.00339,0.980022,ms,,1020.38,,,
"Schelling/LollipopCliqueOnly/CS=850/PL=10000/iterations:100/threads:24",2400,1.01625,0.97389,ms,,1026.81,,,
"Schelling/LollipopCliqueOnly/CS=900/PL=10000/iterations:100/threads:24",2400,0.990282,0.974335,ms,,1026.34,,,
"Schelling/LollipopCliqueOnly/CS=950/PL=10000/iterations:100/threads:24",2400,0.971808,0.936295,ms,,1068.04,,,
"Schelling/LollipopCliqueOnly/CS=1000/PL=10000/iterations:100/threads:24",2400,1.0012,0.98921,ms,,1010.91,,,
"Schelling/LollipopCliqueOnly/CS=1050/PL=10000/iterations:100/threads:24",2400,1.01707,0.951353,ms,,1051.13,,,
"Schelling/LollipopCliqueOnly/CS=1100/PL=10000/iterations:100/threads:24",2400,1.0049,0.989692,ms,,1010.42,,,
"Schelling/LollipopCliqueOnly/CS=1150/PL=10000/iterations:100/threads:24",2400,1.04694,0.964392,ms,,1036.92,,,
"Schelling/LollipopCliqueOnly/CS=1200/PL=10000/iterations:100/threads:24",2400,1.00899,0.968566,ms,,1032.45,,,
"Schelling/LollipopCliqueOnly/CS=1250/PL=10000/iterations:100/threads:24",2400,0.996233,0.961183,ms,,1040.39,,,
"Schelling/LollipopCliqueOnly/CS=1300/PL=10000/iterations:100/threads:24",2400,1.07496,0.966783,ms,,1034.36,,,
"Schelling/LollipopCliqueOnly/CS=1350/PL=10000/iterations:100/threads:24",2400,1.04282,0.998304,ms,,1001.7,,,
"Schelling/LollipopCliqueOnly/CS=1400/PL=10000/iterations:100/threads:24",2400,1.04645,1.03344,ms,,967.642,,,
"Schelling/LollipopCliqueOnly/CS=1450/PL=10000/iterations:100/threads:24",2400,1.06986,1.01298,ms,,987.188,,,
"Schelling/LollipopCliqueOnly/CS=1500/PL=10000/iterations:100/threads:24",2400,1.03168,1.01595,ms,,984.303,,,
"Schelling/LollipopCliqueOnly/CS=1550/PL=10000/iterations:100/threads:24",2400,1.07009,1.03555,ms,,965.67,,,
"Schelling/LollipopCliqueOnly/CS=1600/PL=10000/iterations:100/threads:24",2400,1.03216,1.01876,ms,,981.59,,,
"Schelling/LollipopCliqueOnly/CS=1650/PL=10000/iterations:100/threads:24",2400,1.0677,1.05091,ms,,951.561,,,
"Schelling/LollipopCliqueOnly/CS=1700/PL=10000/iterations:100/threads:24",2400,1.08257,1.03816,ms,,963.241,,,
"Schelling/LollipopCliqueOnly/CS=1750/PL=10000/iterations:100/threads:24",2400,1.1229,1.008,ms,,992.065,,,
"Schelling/LollipopCliqueOnly/CS=1800/PL=10000/iterations:100/threads:24",2400,1.12454,1.03819,ms,,963.213,,,
"Schelling/LollipopCliqueOnly/CS=1850/PL=10000/iterations:100/threads:24",2400,1.14569,1.02231,ms,,978.179,,,
"Schelling/LollipopCliqueOnly/CS=1900/PL=10000/iterations:100/threads:24",2400,1.13358,1.03293,ms,,968.124,,,
"Schelling/LollipopCliqueOnly/CS=1950/PL=10000/iterations:100/threads:24",2400,1.07122,1.03755,ms,,963.812,,,
"Schelling/LollipopCliqueOnly/CS=2000/PL=10000/iterations:100/threads:24",2400,1.08942,1.04,ms,,961.543,,,
"Schelling/LollipopCliqueOnly/CS=2050/PL=10000/iterations:100/threads:24",2400,1.1004,1.09079,ms,,916.77,,,
"Schelling/LollipopCliqueOnly/CS=2100/PL=10000/iterations:100/threads:24",2400,1.1054,1.08638,ms,,920.488,,,
"Schelling/LollipopCliqueOnly/CS=2150/PL=10000/iterations:100/threads:24",2400,1.06541,1.03376,ms,,967.346,,,
"Schelling/LollipopCliqueOnly/CS=2200/PL=10000/iterations:100/threads:24",2400,1.11282,1.0986,ms,,910.249,,,
"Schelling/LollipopCliqueOnly/CS=2250/PL=10000/iterations:100/threads:24",2400,1.09229,1.07735,ms,,928.199,,,
"Schelling/LollipopCliqueOnly/CS=2300/PL=10000/iterations:100/threads:24",2400,1.1258,1.06362,ms,,940.184,,,
"Schelling/LollipopCliqueOnly/CS=2350/PL=10000/iterations:100/threads:24",2400,1.11616,1.10534,ms,,904.696,,,
"Schelling/LollipopCliqueOnly/CS=2400/PL=10000/iterations:100/threads:24",2400,1.11147,1.08018,ms,,925.773,,,
"Schelling/LollipopCliqueOnly/CS=2450/PL=10000/iterations:100/threads:24",2400,1.13967,1.07635,ms,,929.062,,,
"Schelling/LollipopCliqueOnly/CS=2500/PL=10000/iterations:100/threads:24",2400,1.14629,1.10201,ms,,907.43,,,
